Rang,Joueur,Pays,Elo_Actuel,Peak_Elo,Nb_Parties_Officielles,Win_Rate,Draw_Rate,Loss_Rate,Precision_Moyenne,Age,Titre,Style_Jeu,Annees_Pro
1,Magnus Carlsen,Norway,2839,2882,3847,51.2,35.8,13.0,92.5,34,GM,Agressif,17
2,Hikaru Nakamura,United States,2816,2816,2956,48.3,38.4,13.3,90.2,37,GM,Hybride,22
3,Fabiano Caruana,United States,2789,2844,3102,42.5,46.3,11.2,91.8,33,GM,Positionnel,20
4,Arjun Erigaisi,India,2773,2801,1847,52.1,33.2,14.7,89.6,22,GM,Agressif,8
5,Rameshbabu Praggnanandhaa,India,2771,2785,1623,50.8,34.6,14.6,90.1,20,GM,Hybride,6
6,Alireza Firouzja,France,2762,2804,1734,51.5,32.8,15.7,89.3,22,GM,Agressif,8
7,Anish Giri,Netherlands,2759,2780,2847,39.6,51.9,8.5,92.7,31,GM,Défensif,18
8,Vincent Keymer,Germany,2758,2776,1456,50.3,35.2,14.5,88.9,20,GM,Hybride,6
9,Wesley So,United States,2756,2822,2834,41.1,51.7,7.2,92.1,31,GM,Défensif,16
10,Wei Yi,China,2754,2763,2156,47.3,43.8,8.9,91.4,26,GM,Hybride,14
11,Gukesh Dommaraju,India,2753,2794,1289,51.9,33.4,14.7,88.7,19,GM,Agressif,5
12,Nodirbek Abdusattorov,Uzbekistan,2750,2783,1567,50.2,34.1,15.7,89.2,20,GM,Hybride,6
13,Viswanathan Anand,India,2743,2817,4123,44.8,48.3,6.9,91.6,55,GM,Hybride,35
14,Shakhriyar Mamedyarov,Azerbaijan,2742,2820,3456,40.9,52.2,6.9,91.3,40,GM,Défensif,25
15,Leinier Dominguez,United States,2738,2757,2934,45.1,51.8,3.1,92.8,41,GM,Positionnel,25
16,Hans Moke Niemann,United States,2738,2745,1834,49.7,36.4,13.9,88.1,22,GM,Agressif,6
17,Maxime Vachier-Lagrave,France,2737,2819,3612,42.3,51.3,6.4,91.9,34,GM,Positionnel,22
18,Ding Liren,China,2734,2811,2456,41.4,52.3,6.3,91.7,32,GM,Défensif,18
19,Ian Nepomniachtchi,FIDE,2732,2795,2234,42.1,52.2,5.7,91.1,35,GM,Défensif,22
20,Jan-Krzysztof Duda,Poland,2729,2770,1923,47.8,44.2,8.0,90.8,27,GM,Hybride,14
21,Le Quang Liem,Vietnam,2729,2754,2567,46.1,49.2,4.7,91.4,34,GM,Hybride,20
22,Levon Aronian,United States,2722,2786,3678,44.3,49.8,5.9,91.2,42,GM,Hybride,28
23,Yu Yangyi,China,2720,2765,2234,47.2,44.1,8.7,90.6,31,GM,Hybride,19
24,Vladimir Fedoseev,Slovenia,2720,2745,2123,46.8,47.9,5.3,91.3,30,GM,Positionnel,17
25,Javokhir Sindarov,Uzbekistan,2718,2750,1234,51.3,32.7,16.0,88.4,19,GM,Agressif,5
26,Richard Rapport,Hungary,2717,2776,2456,49.1,37.4,13.5,88.9,29,GM,Agressif,16
27,Veselin Topalov,Bulgaria,2717,2750,3890,43.7,47.1,9.2,90.1,50,GM,Hybride,35
28,Santosh Gujrathi Vidit,India,2716,2762,2234,46.8,45.9,7.3,90.7,30,GM,Hybride,17
29,Chithambaram Aravindh,India,2711,2740,1876,47.5,42.3,10.2,90.3,26,GM,Hybride,13
30,Dmitry Andreikin,FIDE,2710,2755,2789,44.6,48.7,6.7,91.2,35,GM,Positionnel,21
31,Awonder Liang,United States,2707,2738,1456,48.9,38.2,12.9,89.6,22,GM,Hybride,8
32,Nihal Sarin,India,2700,2735,1634,48.2,41.1,10.7,89.4,21,GM,Hybride,7
33,Pentala Harikrishna,India,2699,2770,2876,44.2,50.3,5.5,91.1,39,GM,Positionnel,25
34,Samuel Sevian,United States,2698,2745,1789,46.7,42.6,10.7,89.8,24,GM,Hybride,10
35,Parham Maghsoodloo,Iran,2697,2755,1923,48.1,40.2,11.7,89.9,25,GM,Hybride,11
36,Jorden van Foreest,Netherlands,2696,2746,1567,47.3,43.8,8.9,90.5,26,GM,Hybride,12
37,Matthias Bluebaum,Germany,2693,2732,2145,45.8,46.9,7.3,90.6,28,GM,Positionnel,14
38,Andrey Esipenko,FIDE,2693,2728,1456,47.6,41.3,11.1,89.7,23,GM,Hybride,9
39,Teimour Radjabov,Azerbaijan,2692,2765,2234,38.8,59.0,2.2,93.4,38,GM,Défensif,24
40,Wang Hao,China,2692,2763,2567,45.2,48.1,6.7,91.0,36,GM,Positionnel,22
41,Nodirbek Yakubboev,Uzbekistan,2689,2740,1345,49.3,35.6,15.1,88.8,23,GM,Agressif,9
42,Daniil Dubov,FIDE,2684,2732,2234,46.7,44.8,8.5,90.9,29,GM,Hybride,17
43,Peter Svidler,FIDE,2682,2765,3456,41.9,52.3,5.8,91.6,49,GM,Positionnel,32
44,Mohammad Amin Tabatabaei,Iran,2681,2720,1234,47.8,39.4,12.8,89.5,24,GM,Hybride,10
45,Rustam Kasimdzhanov,Uzbekistan,2675,2745,2789,41.3,52.1,6.6,91.0,45,GM,Positionnel,31
46,Kirill Alekseenko,Austria,2674,2725,1876,45.6,46.2,8.2,90.7,28,GM,Positionnel,14
47,Bu Xiangzhi,China,2672,2763,3012,43.4,48.9,7.7,90.8,39,GM,Positionnel,25
